time,DG-FOM,DG-POD ell=10,DG-POD ell=20,DG-POD ell=50,DG-POD ell=100,DG-POD ell=200
4.843750000000e-01,1.829165564041e-02,1.868621739402e-02,1.828768909618e-02,1.891398255500e-02,1.758079909304e-02,1.732136712073e-02
4.850000000000e-01,1.714289428777e-02,1.781876170340e-02,1.733173145390e-02,1.933446154749e-02,1.774267273159e-02,1.742531626426e-02
4.856250000000e-01,1.750923818372e-02,1.679723518293e-02,1.651885408188e-02,1.762073628317e-02,1.762522591578e-02,1.789326404642e-02
4.862500000000e-01,1.617088011043e-02,1.568388771791e-02,1.571872933095e-02,1.490728788527e-02,1.576822006237e-02,1.430862570158e-02
4.868750000000e-01,1.338955881323e-02,1.453236664913e-02,1.471376344335e-02,1.346395378111e-02,1.352173899427e-02,1.471263655422e-02
4.875000000000e-01,1.242059577965e-02,1.338432554077e-02,1.337472229876e-02,1.356160462118e-02,1.290633699931e-02,1.381543755484e-02
4.881250000000e-01,1.331648122697e-02,1.226925042467e-02,1.179280687846e-02,1.309190016587e-02,1.285309521538e-02,1.217782174226e-02
4.887500000000e-01,1.082741624353e-02,1.120702716544e-02,1.028213081346e-02,1.066540645366e-02,1.081081638212e-02,1.057154355881e-02
4.893750000000e-01,8.278122476767e-03,1.021210572523e-02,9.237052374957e-03,7.922714292519e-03,7.818790536786e-03,7.989974592481e-03
4.900000000000e-01,8.056754279408e-03,9.297760590540e-03,8.912944294689e-03,7.656060257562e-03,7.774047479682e-03,8.137981035954e-03
4.906250000000e-01,9.473015781662e-03,8.478987473026e-03,9.249961068850e-03,1.010615460593e-02,1.075662765840e-02,1.004407480644e-02
4.912500000000e-01,1.200445985359e-02,7.773001755263e-03,9.846643434899e-03,1.244421203066e-02,1.234257154996e-02,1.241743879579e-02
4.918750000000e-01,1.232398332041e-02,7.197005503295e-03,1.011692645852e-02,1.216462674183e-02,1.094115506196e-02,1.165984759461e-02
4.925000000000e-01,1.002016531123e-02,6.763689591635e-03,9.566758075109e-03,9.833435772482e-03,9.483887241178e-03,9.945408720662e-03
4.931250000000e-01,7.778321396995e-03,6.475632337730e-03,8.056435076203e-03,7.699204067017e-03,8.856784574268e-03,8.267315312305e-03
4.937500000000e-01,6.589363533128e-03,6.320167016695e-03,5.911078699195e-03,6.450590256518e-03,6.906925977972e-03,6.048698368093e-03
4.943750000000e-01,4.504532420825e-03,6.266307125899e-03,3.809969709917e-03,4.735897923365e-03,3.945054852782e-03,3.582983203194e-03
4.950000000000e-01,8.947066285862e-04,6.264925835111e-03,2.493566774514e-03,1.871228444883e-03,2.040561715876e-03,1.583413365106e-03
4.956250000000e-01,2.960355086957e-04,6.252670882544e-03,2.420725350599e-03,-3.937304042148e-04,7.683812000212e-04,1.681722424830e-03
4.962500000000e-01,1.084099663238e-03,6.159225189519e-03,3.539358496413e-03,2.710740303891e-04,-4.774708772629e-05,2.111031153760e-04
4.968750000000e-01,2.406981239934e-03,5.916704699746e-03,5.283991870672e-03,3.774331646563e-03,2.151258067314e-03,2.169615044570e-03
4.975000000000e-01,7.314406425839e-03,5.469417652184e-03,6.806531127280e-03,7.451995314550e-03,7.085748505487e-03,7.521444161039e-03
4.981250000000e-01,9.309934631041e-03,4.782035965763e-03,7.334724627650e-03,8.824045260465e-03,9.776738058915e-03,9.436819063428e-03
4.987500000000e-01,8.273245355587e-03,3.844500150425e-03,6.491827916438e-03,7.660251952151e-03,7.964065804298e-03,7.915657868347e-03
4.993750000000e-01,5.123315820071e-03,2.672639789464e-03,4.431092411576e-03,5.192557053424e-03,4.672201818973e-03,4.988734776949e-03
5.000000000000e-01,1.740383984993e-03,1.304394851875e-03,1.729466608985e-03,2.251115258158e-03,2.063252697252e-03,2.313396057788e-03
5.006250000000e-01,-6.919555725989e-04,-2.075371553887e-04,-8.993490452301e-04,-1.048111720494e-03,-6.149945144384e-04,-1.330247662460e-03
5.012500000000e-01,-3.843260734614e-03,-1.805043289105e-03,-2.929104303158e-03,-4.249833707785e-03,-3.475101388500e-03,-3.512604821245e-03
